tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1453442766982287361'],1,2021-10-27T19:25:33.000Z,"PARABÉNS, PRESIDENTE LULA | 76 anos com energia de 30! Você é nossa esperança! #equipeLula 

Fotos: Ricardo Stuckert https://t.co/CyfDAvlG62",1423,16845,939,323,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453676921393324036'],1,2021-10-28T10:56:00.000Z,Ao vivo em instantes: https://t.co/DC3AqHTIDc,139,607,42,14,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453681221603581952'],1,2021-10-28T11:13:05.000Z,Entrevista de Lula para a Rádio Jovem Pan de Sorocaba https://t.co/hZCa33gAJ8,630,3013,319,57,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453682338941095940'],1,2021-10-28T11:17:32.000Z,"Fiz 76 anos ontem com muito orgulho. Não sinto o peso da idade, me sinto um jovem com muita energia e disposição de andar o Brasil. E chamar a sociedade brasileira a responsabilidade pra gente consertar esse país juntos.",1702,27763,1853,318,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453685308755746818'],1,2021-10-28T11:29:20.000Z,"Para que a iniciativa privada se apodere do Estado, se vendeu uma falácia de que o Estado no Brasil é pesado. Investir em Educação, por exemplo, não pode ser visto como gasto, é investimento. Investir na formação de um jovem é investimento produtivo.",734,4697,302,66,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453685725589876739'],1,2021-10-28T11:30:59.000Z,Em 2002 falavam que eu não conseguiria governar e o resultado foi que saímos da 12a economia mundial pra 6a...,1436,15095,492,145,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453689786095620098'],1,2021-10-28T11:47:07.000Z,A gente não pode continuar nesse mau humor que está a sociedade brasileira. Nesse clima de ódio. Amanhã vai ser melhor.,1699,21059,1991,2429,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453693288893108229'],1,2021-10-28T12:01:03.000Z,"Embora a CPI não tenha colocado a palavra por terem alegado implicações jurídicas, nós sabemos que o Bolsonaro se comportou como um verdadeiro genocida. Pra ele sacos pretos carregando corpos não significavam nada. Essa é a verdade.",776,5206,474,39,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1453823882599796740'],1,2021-10-28T20:39:59.000Z,"Solidariedade ao Projeto Meninos e Meninas de Rua, que há três décadas acolhe crianças e adolescentes em situação de vulnerabilidade. Pela permanência do PMMR! https://t.co/ggB9xGE0Yg",333,1878,148,8,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1454062146564800514'],1,2021-10-29T12:26:45.000Z,É amanhã. Entrevista exclusiva na @trtworld. https://t.co/APwD3BbWi1,686,3853,270,57,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1454531608636268549'],1,2021-10-30T19:32:14.000Z,"É o povo brasileiro quem vai restabelecer a democracia no país em 2022.

Vídeo: @ricardostuckert https://t.co/sYLoSSkrNV",1202,8201,1032,127,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1454776746868359170'],1,2021-10-31T11:46:19.000Z,"#76FatosSobreLula
1. Lula nasceu em 27 de outubro de 1945, em Pernambuco, distrito de Garanhuns

O ex-presidente Luiz Inácio Lula da Silva nasceu em Caetés, na época, distrito de Garanhuns, agreste Pernambucano. Ele é o sétimo dos 8 filhos de Dona Lindu e Seu Aristides. https://t.co/mgUiafYdIv",364,2778,73,44,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1454776960509480961'],1,2021-10-31T11:47:10.000Z,"#76FatosSobreLula
2. Lula tem duas datas de aniversário: 06/10 e 27/10

Como só foi registrado anos depois de seu nascimento, já no estado de São Paulo, a escrivã se confundiu com as datas e registrou o nascimento do pequeno Luiz Inácio como sendo dia 06 de outubro. https://t.co/JwWA4eIYU9",238,1914,48,34,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1454777591605379072'],1,2021-10-31T11:49:40.000Z,"#76FatosSobreLula
3.Lula só conheceu o pai aos 5 anos. Quando Dona Lindu estava grávida de Lula, Aristides migrou para SP. Quando Lula tinha 5 anos, o pai veio visitar a família, deixou Dona Lindu grávida e levou embora o filho Jaime, autor da carta que mudaria a vida da família. https://t.co/z41nSJIJvY",222,1761,39,12,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1454778358512893953'],1,2021-10-31T11:52:43.000Z,"#76FatosSobreLula
4. Com 7 anos, Lula e a família foram para São Paulo

Em 1952, Lula, a mãe e os irmãos migraram para SP. A viagem de pau de arara durou 13 dias e 13 noites. https://t.co/mOVnGvZd9M",363,4061,165,26,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
"['1454779342823768065', '1454779345738911744', '1454779347311767556']",3,2021-10-31T11:56:38.000Z,"#76FatosSobreLula
5. Lula teve muitos irmãos

Dos 17 irmãos de Lula, 7 são também filhos de Dona Lindu e Seu Aristides. São eles: José (Zé Cuia), Jaime, Marinete, Genival (Vavá), José (Frei Chico), Maria (Baixinha) e Ruth (Tiana). https://t.co/nDyeiPtzkn
Dona Lindu , que já havia perdido dois bebês ainda em Pernambuco, deu a luz a um casal de gêmeos que morreu com poucos dias de vida. Outros 10 irmãos de Lula são filhos de seu pai com a segunda esposa. Lula se lembra da separação dos pais como um momento de libertação.
Seu Aristides agredia os filhos, impedia os estudos da prole e agrediu Dona Lindu. “E aí, para nós foi ótimo. Nós ficamos em liberdade? A gente passou a viver melhor. Era uma pobreza com liberdade. Então, a separação dos meus pais, no fundo, no fundo, foi uma grande liberdade”.",474,3990,69,20,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
['1454807314939121666'],1,2021-10-31T13:47:47.000Z,"#76FatosSobreLula
6. Quando era criança, o sonho de Lula era ser jogador de futebol

Lula sempre adorou jogar futebol. Em seus governos, Lula implementou vários programas fundamentais para os esportes, como o Bolsa Atleta, além de sancionar o Estatuto do Torcedor. https://t.co/MjHhuvi07w",195,1196,29,12,2670726740,LulaOficial,Lula,https://pbs.twimg.com/profile_images/1457789415107956739/4yOwCn7-_normal.jpg,True
