tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
"['1438838014004891650', '1438838687450734597', '1438838908083744769']",3,2021-09-17T12:11:29.000Z,"- O investimento total, em 2021, tanto em leitos de UTI Covid-19 quanto nos de suporte ventilatório pulmonar, é de mais de R$ 6,1 bilhões. O @govbr também entregou, desde março do ano passado, 17.888 ventiladores pulmonares para todo o Brasil: 10.109 de UTI e 7.779 de transporte.
- As autorizações referentes ocorrem sob solicitação dos estados. Entre os aspectos observados nas solicitações de autorização estão a curva epidemiológica na região, a estrutura para manutenção e funcionamento da unidade, equipamentos, RH e corpo clínico para atuação em UTI.
- Já são mais de 265 milhões de doses de vacinas distribuídas a todos os estados e municípios. @minsaude @mqueiroga2 @secomvc 

- Para mais informações Inscreva-se no nosso Telegram: “Jair M. Bolsonaro 1”.",3454,19161,581,35,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
"['1438947763237048323', '1438948310971293697', '1438954193390379009']",3,2021-09-17T19:27:35.000Z,"- Somente no mês de agosto, o @JusticaGovBR (MJSP) arrecadou R$ 10 milhões com leilões de bens apreendidos em operações policiais. Foram 25 leilões organizados pela Secretaria Nacional de Política sobre Drogas nos quais estiveram disponíveis para arremates 234 itens.
- Valores arrecadados com o leilão de itens apreendidos do tráfico são destinados ao Fundo Nacional Antidrogas. Já os valores arrecadados com o leilão de bens apreendidos de crimes de corrupção vão para o Fundo Penitenciário Nacional ou para o Fundo Nacional de Segurança Pública.
- Os recursos são então utilizados para equipamento e treinamento das Forças de Segurança Pública, como mostrados costumeiramente em postagens anteriores. @andersongtorres",6301,34476,853,114,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
['1438986684780195844'],1,2021-09-17T22:02:15.000Z,"🇧🇷 Cerimônia de Lançamento do Projeto Pró-Águas Urucuia.
- Arinos/MG - 17 Set 21.

@mdregional_br @rogeriosmarinho @govbr https://t.co/WaRSiYWlfE",3986,18147,881,172,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
"['1439185525274038273', '1439185591422308353']",2,2021-09-18T11:12:22.000Z,"- O desempenho das contas públicas é resultado da combinação do crescimento de receitas próprias com o auxílio financeiro prestado pela União para o combate à Covid-19 a estados e municípios. @govbr @BancoCentralBR @secomvc
- Em 2020, estados e municípios, incluindo estatais, tiveram um superávit de R$ 42,9 bilhões, o maior resultado primário da série histórica iniciada em 2000, e terminaram o ano com acréscimo de R$ 31,1 bilhões no estoque de caixa e equivalente de caixa.",6256,34670,1235,122,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
['1439282512145100807'],1,2021-09-18T17:37:46.000Z,"🇧🇷 Mara Rosa/GO, 17 Set 21.
- Ordem de serviço para início da Ferrovia de Integração Centro Oeste, FICO.

. Saiba mais ações diárias em nosso Telegram: https://t.co/O8KTejUGuL https://t.co/DPisyWV75t",3819,18306,806,142,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
"['1439541321081970690', '1439542095090495488']",2,2021-09-19T10:46:10.000Z,"- @govbr zera imposto de importação de medicamento e de dispositivos para pessoas com deficiência.

- Medida inclui anticorpo para tratamento de câncer metastático, próteses para pernas e equipamentos para acessibilidade na área de informática. @secomvc
- Além do citado, são mais de 500 produtos com impostos de importação zerados no combate ao covid desde o início da pandemia.",8934,48492,1383,250,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
"['1439639748776271876', '1439639922651062276']",2,2021-09-19T17:17:17.000Z,"- Nosso Governo concedeu mais títulos de propriedade (reforma agrária) que os últimos 20 anos de outros governos.

- Cada vez mais os integrantes do MST deixam o Movimento e se aliam a quem lhes trata com respeito e dignidade. @govbr @MinCidadania @joaoromaneto https://t.co/BpFAPjLuQu
. Mais informações neste domingo em nosso Telegram: https://t.co/O8KTejUGuL https://t.co/yUMcU9dgmG",6456,28938,1086,237,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
"['1439917153449299971', '1439917279718805512']",2,2021-09-20T11:39:36.000Z,"- A @policiafederal realizou, na última semana, em Guaíra (PR), a terceira operação de incineração de drogas de 2021. Ao todo, foram destruídas 6,6 toneladas de maconha, 1,3 tonelada de cocaína e 137 kg de skunk, totalizando mais de oito toneladas de entorpecentes. @JusticaGovBR https://t.co/PU1OjwLyd7
- Na primeira ação, em fevereiro, a PF destruiu 9,6 toneladas de drogas. Já em junho, durante a Semana Nacional Antidrogas, outras 10,4 toneladas foram incineradas. Só em 2021, as apreensões de cocaína cresceram quase 2000%. @andersongtorres @secomvc @govbr",4723,27527,832,206,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
"['1439972967631499265', '1439973105800253440']",2,2021-09-20T15:21:23.000Z,"- A priorização do Governo Federal em fazer do esporte escolar uma ferramenta que contribui para a formação de nossas crianças e jovens, segue gerando grandes frutos: o Brasil trabalhou e ganhou de forma inédita o direito de sediar os Jogos Mundiais Escolares Sub-15 em 2023. https://t.co/HJ66ySJyZH
- Uma conquista que muito nos orgulha e que certamente servirá aos nossos alunos como um estímulo aos estudos e à prática esportiva. Trabalharemos duro para fazer deste evento um marco na história dos Jogos Escolares! @EsporteGovBR @ISFsports @marcellomaga",4712,25824,627,101,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
['1440041127843827721'],1,2021-09-20T19:52:14.000Z,🍕🥤🌃👍🏻,5875,53444,4105,1073,128372940,jairbolsonaro,Jair M. Bolsonaro,https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_normal.jpg,True
