tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1374832196326993922'],1,2021-03-24T21:15:13.000Z,"Eu não tô falando isso como deputado, eu estou neste momento escrevendo um sentimento do meu coração: Não existe medida que faça a diferença em tudo que aconteceu, não tem pedido de desculpas, ainda que feito de joelhos, que apaga todas as barbaridades que foram cometidas.",30,482,28,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1374848262579097614'],1,2021-03-24T22:19:03.000Z,Meu coração está com vocês! 🖤 https://t.co/4XYBy1IyFn,20,281,22,2,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1374900443495739399'],1,2021-03-25T01:46:24.000Z,"Na sessão de hoje, aprovamos o PL 1010/2021 que cria o Programa Pró-Leitos. Ele permite que a Iniciativa Privada (tanto pessoa jurídica como física) doe leitos de UTI para o SUS e que o valor deles possa ser abatido do Imposto de Renda.",12,208,6,1,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1374901961544327169'],1,2021-03-25T01:52:26.000Z,"Coincidência ou não, apos o forte (e necessário) discurso do deputado @KimKataguiri, o Congresso se volta para pautar apenas matérias relacionadas ao combate à pandemia que nos assola. O recado tá dado, o congresso não vai mais se omitir diante a barbárie.",155,3364,112,9,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1375075955526488069'],1,2021-03-25T13:23:50.000Z,"Por que alguém acredita em supremacia branca? O quão pequeno e idiota precisa ser um ser humano pra se orgulhar de algo que ele sequer escolheu? Estamos em 2021, deveríamos estar pensando em corrida espacial, não em ensinar que racismo é intolerável.",30,475,27,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1375101060851847170'],1,2021-03-25T15:03:35.000Z,"No meu bom senso, quando ocorreu o primeiro óbito, já não existia mais limite, já estava tudo errado. Quantas vidas valem o ""limite do bom senso""? Cada coisa! https://t.co/1JXHsTHP7d",12,146,4,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1375101687820660744'],1,2021-03-25T15:06:05.000Z,"Qualquer pessoa que traçar uma linha do tempo da pandemia no Brasil, vai relembrar que nós vimos vimos primeiro pacientes serem atendidos por profissionais que não tinham qualquer instrução de como lidar com situação e sem receber qualquer EPI para realizar o atendimento",9,173,4,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1375102380048588806'],1,2021-03-25T15:08:50.000Z,"Ali o ""limite do bom senso"" já não existia mais. A pandemia começou na China, rodou toda a Europa, chegou na América do Norte e só depois no Brasil, ainda assim, assistindo tudo que acontecia no mundo, a gente não fez ABSOLUTAMENTE NADA certo.",13,322,10,2,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1375110283874725888'],1,2021-03-25T15:40:14.000Z,"O Ministro Paulo Guedes tem tempo pra atacar o @IFIBrasil, de maneira rasa e infundada sem tecnicismo, mas não tem pra fazer uma autocrítica? Previsão por precisão, ele jurava que faria todas as privatizações em um ano e que conteria a pandemia com 5bi. Pede pra sair, ministro.",9,187,12,3,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1375111280042901510'],1,2021-03-25T15:44:12.000Z,Paulo Guedes foi um dos maiores delírios coletivos do brasileiro classe média na história.,100,1417,65,9,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
