tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1250748332311490560'],1,2020-04-16T11:30:14.000Z,"Coronavírus mata. Fome mata. Nada mata mais que a ignorância. Ao adotar um comportamento só repetido no mundo pelos ditadores da Bielorússia, do Turcomenistão e da Nicarágua, @jairbolsonaro abraça a ignorância. E vamos ver amigos, parentes ou desconhecidos mortos pela insensatez.",913,4829,3347,232,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1250870550425210882'],1,2020-04-16T19:35:53.000Z,"O @jairbolsonaro demitiu o @lhmandetta do Ministério da Saúde. É prerrogativa do PR, mas se lamenta que isso ocorra em meio à maior crise sanitária da história e sem motivação técnica. O substituto, Nelson Teich, tem currículo compatível com o cargo e se espera respeito à ciência",98,902,1022,67,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
"['1250871170515243009', '1250871175095386114', '1250871179348447232', '1250871182913679369']",4,2020-04-16T19:38:21.000Z,"Parte dos recursos de auxílio emergencial para o enfrentamento da pandemia do Covid-19 já chegou em Sergipe e em Aracaju. E não são valores baixos! Até agora já são mais de 48 milhões disponibilizados para o Estado e 24 milhões para a capital sergipana. https://t.co/jBX5C9dUq8
Esses recursos terão seu uso focado na saúde pública, incrementando hospitais e garantindo toda a infraestrutura necessária para a prevenção e tratamento do coronavírus. Ainda vão chegar mais 57 milhões das emendas de bancada que serão destinados para a mesma finalidade.
Estou fazendo a minha parte como senador, ajudando a trazer estes recursos. Mas preciso da ajuda de todos para a etapa seguinte, que é de cobrar e fiscalizar o planejamento e a aplicação dos recursos.
Você pode colaborar monitorando as ações e contratações pelo Portal da Transparência ou Diário Oficial, e também pode denunciar qualquer irregularidade com o dinheiro público.",12,76,40,1,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1250888775015845888'],1,2020-04-16T20:48:19.000Z,É preciso ganhar tempo. Alguém avisa o novo ministro que não temos testes no volume necessário para testagem em massa e que já existem centenas de pesquisas em andamento. Tem que trabalhar com a realidade. Não tem nenhum gestor mantendo isolamento por maldade. Faltam meios. #sus,114,722,634,34,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
"['1250941078779432960', '1250941081505726470', '1250941083506356224']",3,2020-04-17T00:16:09.000Z,"Para este momento de emergência de combate ao Covid-19, defendo que seja autorizado a doação de recursos dos Fundos Partidário e Eleitoral para ações incluídas em políticas de enfrentamento de emergências de saúde pública. É isso que proponho com o Projeto de Lei 870/2020. https://t.co/3tRlQvmnYo
Vamos continuar empenhados para garantir a aprovação deste e de outros projetos que preveem a transferência dos recursos do Fundão para o enfrentamento da pandemia. É urgente que essas propostas avancem!
Para termos uma ideia, com os valores do Fundão é possível adquirir 30 mil aparelhos respiratórios e 500 milhões de máscaras de altíssima qualidade. Esses recursos são públicos e devem servir aos brasileiros nesse momento de crise.",57,382,107,3,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
"['1251187797723136000', '1251187801586049025']",2,2020-04-17T16:36:31.000Z,"Protocolei Projeto de Lei no Senado que permite a dedução da base de cálculo do Imposto sobre a Renda das Pessoas Físicas (IRPF) de despesas com aquisição, por profissionais de saúde, de equipamentos de proteção individual (EPI), em razão da pandemia da #Covid19 . https://t.co/C62MYiPfzZ
Acreditamos que a medida é justa e contribuirá para a manutenção dessa força de trabalho tão necessária para o enfrentamento direto da #Covid19 em nosso país.",3,43,45,0,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
"['1251240603922452481', '1251240608938803200']",2,2020-04-17T20:06:21.000Z,"Apresentei à Mesa do @SenadoFederal um requerimento convocando o general Augusto Heleno, ministro-chefe do Gabinete de Segurança Institucional, da Presidência, para que compareça ao Plenário, para esclarecer se o Executivo Federal conduz algum tipo de investigação... https://t.co/20o7qXK1PU
que recaia sobre os demais Poderes, como sugeriu o Presidente da República em conversa com Líderes do Parlamento, abrindo-lhe espaço para que apresente provas ou indícios aptos a confirmar as alegações. O requerimento precisa ser votado pelo plenário.",214,1389,2604,152,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
"['1251274830118338560', '1251274833238855682']",2,2020-04-17T22:22:21.000Z,"Destaco nosso projeto PL 1358/2020 que institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet. A proposta também prevê a responsabilização das plataformas, como sites e redes sociais, sobre os conteúdos veiculados em seus domínios. https://t.co/cattgaGG77
Nesse período de pandemia, a velocidade de contaminação só é equiparada à rapidez com que uma corrosiva infodemia da desinformação tem tomado as redes sociais, que pode ser letal e nociva a saúde individual e coletiva.",15,112,148,4,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1251963660538392582'],1,2020-04-19T19:59:31.000Z,"Não se governa da caçamba de uma pick-up. E não se lidera mentindo para as pessoas. O @jairbolsonaro que chama para conversar o Centrão é o mesmo que grita fora velha política? Ou assina o PLN4, mas diz que não negocia nada? Chega, vamos apontar cada mentira incoerente. João 8:32",693,5031,1217,117,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
"['1252661812048338944', '1252661814757916677']",2,2020-04-21T18:13:43.000Z,"Já são quase 20 anos de dedicação como Delegado da Polícia Civil de Sergipe. Ser um servidor da Segurança Pública é uma missão essencial e fico feliz por contribuir para o bem estar dos sergipanos, e principalmente, para o combate à criminalidade, https://t.co/GXHVA6ba9J
seja ela violenta ou de colarinho branco. Hoje é dia de homenagear homens e mulheres policiais civis, militares e federais que diariamente trabalham para a garantia da justiça, da paz e da liberdade dos cidadãos.

#DiaDoPolicial #PCSE #PolíciaCivilSergipe #PMSE #PF #PRF",11,89,65,0,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1252734639661355009'],1,2020-04-21T23:03:07.000Z,"Covid-19: Cidadania aciona TCE e MP para que cobre transparência da prefeitura de Aracaju e Governo do Estado - @siteajunews ⬇️

https://t.co/MqsGUgPKEK",10,57,25,1,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1253105155760939009'],1,2020-04-22T23:35:25.000Z,"Aprovamos agora no @SenadoFederal o substitutivo da Câmara ao Projeto de Lei 873/2020, que estende o auxílio emergencial de R$ 600 para outras categorias de trabalhadores informais e autônomos. Também revogamos o limite de renda baseado no IR 2018. A matéria vai à sanção do PR.",14,120,82,2,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1253387216371490818'],1,2020-04-23T18:16:13.000Z,"O governo prometido por Bolsonaro acabou. O plano liberal de Guedes e o plano de combate à corrupção de Moro foram derrotados pela pandemia, rachadinhas e pelo casamento com o Centrão. Resta a ignorância boçal de Weintraub e Ernesto. E alguns generais tentando evitar o desastre.",1050,5585,999,152,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1253628353099284483'],1,2020-04-24T10:14:25.000Z,"Quem tem medo de uma polícia técnica e independente é bandido! Estamos acompanhando com atenção e repudiamos mais esse ataque à Polícia Federal, instituição que é motivo de orgulho para os brasileiros e pilar no necessário combate à corrupção. #VERGONHA",473,2782,400,62,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1253696506177216512'],1,2020-04-24T14:45:14.000Z,"Os canalhas precisam entender, de uma vez por todas, que existem no Brasil homens e mulheres que não se vendem e nem abaixam a cabeça para os poderosos de plantão. Toda a solidariedade ao cidadão Sérgio Moro e à equipe do MJSP, em especial da PF. Força e Honra.",325,1951,196,27,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
['1253708977860460546'],1,2020-04-24T15:34:47.000Z,"Alessandro Vieira está correto: “O governo prometido por Bolsonaro acabou” ⬇️⬇️⬇️

https://t.co/to9MLZ6M95",23,183,24,4,4250596815,Sen_Alessandro,Senador Alessandro Vieira,https://pbs.twimg.com/profile_images/1116337503055822849/K6K6ujzr_normal.png,True
