tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1000883405578436608'],1,2018-05-27T23:36:14.000Z,"Não consigo entender, diante do caos iminente e prejuízos bilionários, Gov cede em 2 reivindicações difíceis, a serem compensadas pelo Tesouro (redução em R$ 0,46/litro diesel e MP q isenta pedágio p eixo suspenso) e empaca na prorrogação do congelamento do diesel p 60 dias",14,108,57,8,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1000883446724644864'],1,2018-05-27T23:36:23.000Z,"Sem entrar no mérito da legitimidade da greve, é hora de pensar nas consequências nefastas de mais um dia de paralisação.",27,265,149,17,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1000905822384377862'],1,2018-05-28T01:05:18.000Z,"Governo cede para encerrar a paralisação. Aguardamos o fim pacífico do movimento. No Congresso, precisamos discutir a redução de impostos, o corte de gastos e fazer um amplo debate sobre alternativas ao modal rodoviário.",107,530,212,34,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1001607897778937856'],1,2018-05-29T23:35:06.000Z,"A greve dos caminhoneiros foi capaz de parar o País ou quem parou o Brasil foi a política brasileira?

https://t.co/DI66P4ltJu",13,142,65,8,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1001907214121041921'],1,2018-05-30T19:24:29.000Z,População quer menos impostos e melhores serviços. Classe política precisa ouvir as ruas https://t.co/RQxpuHlSOW,33,191,69,11,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1002599883625385984'],1,2018-06-01T17:16:54.000Z,Líder do MDB: “Faltou a ele [Pedro Parente] sensibilidade política” https://t.co/IxeC16D0zP,3,20,27,2,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1002631947766632455'],1,2018-06-01T19:24:19.000Z,"Defendo um gestor (técnico), que entenda de Política, à frente da Petrobras. Nesta crise, a Estatal não  deve ter os preços subsidiados do passado, mas também não pode fazer reajustes diários do combustível. A Petrobras é autônoma e deve manter liberdade na política de preços.",17,146,85,8,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1004761706751561728'],1,2018-06-07T16:27:13.000Z,Prioridade para segurança na fronteira. Precisamos aprovar projetos eficazes para combater a violência. https://t.co/xMFkoc2R6S,6,46,14,1,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1005196730609127425'],1,2018-06-08T21:15:50.000Z,"Ação efetiva no combate à violência deve priorizar causa e consequência, ou seja: fronteira e sistema penitenciário https://t.co/3x4G6dl7Q5",4,31,6,1,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1006200571131506688'],1,2018-06-11T15:44:45.000Z,https://t.co/9cqMvWpCbt,7,49,18,3,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1006580183950905344'],1,2018-06-12T16:53:11.000Z,"Ouvi do Presidente da Petrobras, Ivan Monteiro, que não mudam as regras do jogo para a venda da UFN-III, fábrica de fertilizantes de Três Lagoas - MS. Ele garantiu que a troca no comando da Estatal não vai interferir no processo já em andamento. https://t.co/katfN6RfJl https://t.co/YTNoxSJpDr",1,15,4,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1010517325202804736'],1,2018-06-23T13:37:59.000Z,O voto é a maior arma do eleitor. Veja o resumo da minha semana no Senado. https://t.co/OBGnkIBmbN,2,25,12,2,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1014233501523218433'],1,2018-07-03T19:44:44.000Z,"Mudança nas regras sobre desistência da compra de imóvel na planta (distrato): Precisamos melhorar o projeto para atender o interesse público. Votação será na próxima semana

https://t.co/XU7BjhwJwC",4,31,5,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1014650917273161728'],1,2018-07-04T23:23:24.000Z,"Triste coincidência. Soube do falecimento do Prof. Romero Dias Lopes, Des. do TJMS, agora q me debruço sobre tema tributário. 
Ele ensinou q a verdade nos faz fortes ao me estimular a estudar qdo lhe disse q Dir. Tributário era meu fraco. Meus sentimentos aos familiares e amigos.",1,37,4,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1017837782872547331'],1,2018-07-13T18:26:52.000Z,"Sugeri alterações ao projeto que altera regras do distrato, a desistência de compra de imóvel. Matéria é importante para setor da construção civil e para o comprador. A votação final será em agosto, em Plenário. https://t.co/vFrNQZX36k",6,41,9,2,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1018938346935144449'],1,2018-07-16T19:20:07.000Z,"O Prêmio Congresso em Foco reconhece parlamentares comprometidos com a boa Política. Em 2017, fiquei entre os “Melhores Senadores do ano” e os “Senadores mais bem avaliados”.
Para votar, acesse: https://t.co/Y2OhG0VDk7 
Vote até 31 de julho. Resultado:13 de agosto. https://t.co/HpNizbuuKy",1,42,26,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1026879143441571840'],1,2018-08-07T17:14:00.000Z,Aprovamos hoje na Comissão de Assuntos Econômicos do Senado projeto do senador Moka que obriga agências reguladoras a prestar contas ao Congresso. https://t.co/6yIu0tWVBk,14,150,26,1,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1027571124018847745'],1,2018-08-09T15:03:41.000Z,Aprovamos no Senado proibição de cobrança por marcação antecipada de assentos em avião. https://t.co/Th8Upjfw73,17,154,32,6,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1028003352540528641'],1,2018-08-10T19:41:13.000Z,"Esta semana comemoramos os 12 anos da Lei Maria da Penha. Continuamos avançando na legislação, falta mudar a mentalidade de quem ainda não entendeu que em mulher não se bate nem com uma flor. https://t.co/sjqZA3zWPl",5,72,7,1,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1028658636330024960'],1,2018-08-12T15:05:05.000Z,https://t.co/rDbRi0lYgx,1,38,5,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1029324664861065216'],1,2018-08-14T11:11:38.000Z,Fui eleita pelo júri do Prêmio Congresso em Foco a Melhor Senadora de 2018. Feliz também por ter ficado entre os senadores mais bem avaliados pelos jornalistas que cobrem o Congresso Nacional. https://t.co/bo7YetOztU,20,340,59,9,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1029440515371134976'],1,2018-08-14T18:51:59.000Z,"Simone Tebet é a melhor entre os 81 senadores no Prêmio Congresso em Foco 2018

https://t.co/NUBwkBiio0 https://t.co/fd3ncF9quA",8,116,22,3,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1031908890315767809'],1,2018-08-21T14:20:26.000Z,"Otavio Frias Filho deixa como legado o fortalecimento da democracia. À frente da Folha de S.Paulo, promoveu transformações e conquistas pautadas na liberdade de imprensa, na diversidade de ideias e no jornalismo de credibilidade. Meus sentimentos à família e à equipe do  jornal.",0,33,8,1,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1037430943445868544'],1,2018-09-05T20:03:06.000Z,"Acabamos de aprovar projeto, relatado por mim, que garante prioridade no exame de corpo de delito para vítimas de violência doméstica e familiar. Medida já pode virar lei. https://t.co/RKYklOhc6k",16,155,24,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1042471989976416258'],1,2018-09-19T17:54:25.000Z,"Fui selecionada entre os ""Cabeças do Congresso"" pelo 2º ano seguido. Entre os critérios estão: elaboração de propostas e relatórios, inclusão na pauta com agilidade e liderança em debates e votações. Este ano também fui eleita a “Melhor do Senado” pelo prêmio Congresso em Foco. https://t.co/il6bivzXUV",17,238,42,11,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1047574714313584646'],1,2018-10-03T19:50:49.000Z,Outubro Rosa: hora de se preocupar com a prevenção ao câncer de mama. Nossa luta no Congresso é para garantir a agilidade do diagnóstico. https://t.co/akZmusQke8,9,47,6,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1048213750996750336'],1,2018-10-05T14:10:07.000Z,"Neste 5 de outubro comemoramos os 30 anos da Constituição. Símbolo da redemocratização do País, a Carta Magna representou a conquista de direitos fundamentais. https://t.co/igQYn6bbvi",11,76,15,5,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1050394941254524929'],1,2018-10-11T14:37:24.000Z,"Mato Grosso do Sul, meu berço, minha casa, meu chão, orgulho de representar vocês em Brasília. Parabéns pelos seus 41 anos! https://t.co/FMjdloZ4O6",28,230,22,4,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1051851729850036225'],1,2018-10-15T15:06:09.000Z,"15 de outubro. Dia de homenagear os nossos mestres na arte da vida. Ouso me inspirar e tomar emprestadas as palavras do Criador: “faça-se a luz”. 
E a luz se faz em cada aluno, na construção de um mundo à imagem e à semelhança do Professor. https://t.co/lRMqfy3fm2",17,113,13,2,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1055215481492254720'],1,2018-10-24T21:52:30.000Z,"Tive a oportunidade de conhecer o jornalista de O Valor, Raymundo Costa, o Raymundinho. Experiente, sabia traduzir como poucos, com fidelidade e perspicácia, as cenas da política brasileira. Era admirado por colegas, fontes e leitores. Deixo minha solidariedade à família e amigos",3,76,2,1,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1055840837417009157'],1,2018-10-26T15:17:26.000Z,O jornalista Cadu Bortolot escolheu o Mato Grosso do Sul como sua casa. Com profissionalismo e competência retratou o cotidiano do Estado e nossa história. Fará falta. Presto minha solidariedade aos amigos e familiares.,3,42,6,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1056676958682185730'],1,2018-10-28T22:39:53.000Z,"Parabenizo o novo Presidente, Sr. Jair Bolsonaro. É preciso respeitar o resultado das urnas, porque o povo ali depositou a sua legítima vontade, sob o manto da Constituição e da Democracia. Agora, é tempo de construirmos, juntos, ações efetivas para pacificar as ruas.",49,448,23,6,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
['1058726796856832000'],1,2018-11-03T14:25:13.000Z,https://t.co/ws8ZPmXq1s,7,60,9,0,2508415207,SimoneTebetms,Simone Tebet,https://pbs.twimg.com/profile_images/1468582111301062660/4ABaLlzg_normal.jpg,True
