tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1471110596443742208'],1,2021-12-15T13:31:12.000Z,"Ciro estará ao vivo com Datena dentro de minutos. Veja o que ele vai dizer sobre a absurda perseguição da Polícia Federal.

https://t.co/MeSslReMVG",401,2285,172,58,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
"['1471117596476985351', '1471117598423232512']",2,2021-12-15T13:59:01.000Z,"Em tempos de um canalha como o Bolsonaro, a Polícia Federal veio na minha casa, nunca em 40 anos ninguém levantou uma suspeita. Não acho que sou um cidadão acima da lei, acho que todo mundo pode e deve ser investigado se houver qualquer tipo de denúncia ou acusação.
Trocaram o delegado, o superintendente daqui. Como é que um fato de 2012, uma delação que acontece em 2017 sobre fatos que teriam acontecido e que não me envolve, porque o próprio delator disse que nunca falou comigo, como é que eu estou envolvido nisso? Qual é a explicação?",1276,13775,731,142,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471125764204597252'],1,2021-12-15T14:31:29.000Z,"Todo homem público tem obrigação de se defender, mesmo tendo sido acusado injustamente, como estou sendo. Mas não se preocupe, eu serei capaz de demonstrar a violência que estou sofrendo por esse dispositivo bolsonarista que tomou conta de parte das instituições. #CiroNoDatena",578,4646,230,51,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471128350462816263'],1,2021-12-15T14:41:45.000Z,"Obrigado presidente @LulaOficial. O estado policial de Bolsonaro é uma ameaça à democracia e a todos os democratas. Me considero na obrigação de dar todos os esclarecimentos necessários, em respeito ao povo brasileiro, e o farei. https://t.co/TJLU8uWMIO",2007,29372,2162,1172,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471131601123909633'],1,2021-12-15T14:54:40.000Z,"Logo mais, às 12 horas, estarei no @UOL para uma entrevista com Tales Farias, Josias de Sousa e Fabíola Cidral. Assim como fiz no programa de Datena, vou explicar em detalhes como a Polícia Federal de Bolsonaro está fazendo uma armação para me prejudicar. https://t.co/KvGe6WSJPe",394,2714,290,63,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471150863792189446'],1,2021-12-15T16:11:13.000Z,Obrigado presidente @dilmabr. Seguirei firme na luta pelo Brasil e contra essas arbitrariedades. https://t.co/5IKsxYw4n6,511,8870,380,90,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471172996366802955'],1,2021-12-15T17:39:10.000Z,"Daqui a pouco, às 15h, tem #CiroNaGloboNews com Cecília Flesch, Miriam leitão, Marcelo Lins, Valdo Cruz e Ana Flor. Vou estar no Estúdio I pra falar sobre os absurdos envolvendo a ação da Polícia Federal de Bolsonaro desta manhã.",366,2651,139,66,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471176634380308488'],1,2021-12-15T17:53:37.000Z,"Obrigado meus irmãos Camilo (@CamiloSantanaCE), Randolfe (@Randolfeap), Glenn (@GGreenwald) e Orlando Silva (@orlandosilva). A luta em favor do Estado de Direito tem que unir a todos os democratas.",459,5061,154,19,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471185934943244293'],1,2021-12-15T18:30:34.000Z,"Obrigado Flávio Dino (@FlavioDino), Guilherme Boulos (@GuilhermeBoulos), Rodrigo Maia (@RodrigoMaia), Gleisi Hoffmann (@Gleisi) e Paulo Pimenta (@DeputadoFederal). O Brasil não se submeterá, jamais, à tirania.",631,10552,408,61,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
['1471187218739994632'],1,2021-12-15T18:35:40.000Z,"Não há a menor dúvida que estou sendo vítima de uma grande arbitrariedade. A intenção é me constranger, calar a minha boca e abater a minha disposição de oferecer ao Brasil uma proposta, que começa dizendo que o Brasil não pode mais contemporizar com a corrupção. #CiroNaGloboNews",543,4699,169,37,33374761,cirogomes,Ciro Gomes,https://pbs.twimg.com/profile_images/1459249736368726017/dDO-xq14_normal.jpg,True
