tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1253793469627326464'],1,2020-04-24T21:10:32.000Z,"A permanência do Diretor Geral da PF, Maurício Valeixo, nunca foi utilizada como moeda de troca para minha nomeação para o STF. Aliás, se fosse esse o meu objetivo, teria concordado ontem com a substituição do Diretor Geral da PF.",27878,286943,48028,11092,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1253799660751409153'],1,2020-04-24T21:35:08.000Z,"De fato,o Diretor da PF Maurício Valeixo estava cansado de ser assediado desde agosto do ano passado pelo Presidente para ser substituído.Mas,ontem,não houve qualquer pedido 
 de demissão,nem o decreto de exoneração passou por mim ou me foi informado.
https://t.co/zadUXo3J4P",18181,171460,32599,5765,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1253996296198918145'],1,2020-04-25T10:36:29.000Z,"“Faça a coisa certa, pelos motivos certos e do jeito certo” foi o lema de campanha de integridade que fizemos logo no início no MJSP. Abaixo vídeo simples sobre ela, mas ainda disponível. https://t.co/IMTk3dNnZ0",6588,85481,23115,1402,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1254055900781973504'],1,2020-04-25T14:33:20.000Z,"Sobre reclamação na rede social do Sr.Presidente quanto à suposta ingratidão:também apoiei o PR quando ele foi injustamente atacado.Mas preservar a PF de interferência política é uma questão institucional,de Estadode Direito,e não de relacionamento pessoal https://t.co/I5HD9uhTj9",10141,127796,39122,3079,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1254469555470163969'],1,2020-04-26T17:57:03.000Z,Tenho visto uma campanha de fake News nas redes sociais e em grupos de whatsapp para me desqualificar. Não me preocupo; já passei por isso durante e depois da Lava Jato. Verdade acima de tudo. Fazer a coisa certa acima de todos,16272,206909,61639,7284,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1254807450542321666'],1,2020-04-27T16:19:44.000Z,"Como cidadão, continuarei defendendo, como sempre fiz enquanto estive no governo, a aprovação de projetos anticorrupção, em especial a PEC ou o PL da execução em segunda instância.Claro que,no momento, a prioridade é combater a pandemia de covid e seus efeitos, como o desemprego.",5095,92251,28777,1557,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1255827605561004035'],1,2020-04-30T11:53:27.000Z,"Número de mortos vítimas do coronavírus no Brasil cresce de forma expressiva, infelizmente. Passamos de cinco mil mortos. Há uma incerteza em relação à evolução da pandemia. Cuide-se! Se não puder ficar em casa, tome cautelas ao sair.",7218,110995,24005,1859,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1256188629837320193'],1,2020-05-01T11:48:02.000Z,"Concedi entrevista à  Revista Veja com a intenção exclusiva de me defender das fakes news e ofensas e explicar minha saída do Governo, nem mais nem menos.",5757,108702,38648,2233,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1256933021594386436'],1,2020-05-03T13:05:59.000Z,Há lealdades maiores do que as pessoais.,12015,148336,44264,5236,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1257052550345433088'],1,2020-05-03T21:00:57.000Z,"Democracia, liberdades - inclusive de expressão e de imprensa - Estado de Direito, integridade e tolerância caminham juntos e não separados.",7181,95908,30677,2294,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1257638551606476801'],1,2020-05-05T11:49:31.000Z,"Continuam as fake news contra mim, abaixo uma feita utilizando falsamente o nome do Min Ayres Britto para veicular louvores ao PR e críticas a mim. Será que abandonamos toda e qualquer dignidade? https://t.co/G9sVLV8kEo",4754,52787,22842,1847,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1258150979175886850'],1,2020-05-06T21:45:43.000Z,"Há os que acreditam nas fake news das redes sociais, e há os que acreditam na Justiça. https://t.co/R9KSSpuPru",4718,52194,13107,1076,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1258198450849579009'],1,2020-05-07T00:54:21.000Z,https://t.co/QFEe6JUVq1,3551,37805,9119,1543,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1258473717962768384'],1,2020-05-07T19:08:10.000Z,Li um bilhete a mim dirigido pelo ator Carlos Vereza. Meus agradecimentos pelas palavras gentis. O senhor está certo: sinto que apenas cumpri a lei e meu dever como cidadão.,2968,58915,12544,712,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1258883964875476994'],1,2020-05-08T22:18:20.000Z,"The war is over. O fim da segunda guerra mundial foi anunciado em um oito de maio como hoje. A FEB esteve lá. 75 anos depois, estamos vivendo outra guerra, desta vez contra o coronavírus. Mas, levando a doença a sério e com as medidas devidas, também vamos derrotar esse inimigo. https://t.co/0jCbuRzLMT",2445,40153,6080,346,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1259266408468418562'],1,2020-05-09T23:38:02.000Z,"Minha solidariedade e minhas orações aos familiares das mais de 10 mil vítimas da Covid-19. Espero que essa provação que estamos vivendo passe logo. Faça sua parte e tome cuidado para não contrair a doença, nem transmiti-la.",4678,80646,14476,1026,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1259520127239938049'],1,2020-05-10T16:26:13.000Z,Dia das mães. Deve ser este o mais triste da história pelo distanciamento social necessário. Mas todas permanecem próximas em nossos corações. Abaixo homenagem de um dos melhores do mundo. https://t.co/hC41VZxMqW,2118,33843,5369,272,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1260361709858033664'],1,2020-05-13T00:10:22.000Z,"O acesso ao vídeo da reunião ministerial do dia 22/4 confirma o conteúdo do meu depoimento em relação à interferência na Polícia Federal,motivo pelo qual deixei o governo.Defendo,respeitosamente, a divulgação do vídeo,de preferência na íntegra,para que os fatos sejam confirmados.",8066,100003,23290,2539,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
['1260510376317288449'],1,2020-05-13T10:01:07.000Z,"A Operação Hórus,no VIGIA, foi criada no MJSP para fortalecer integração e controle das fronteiras contra o tráfico de drogas e contrabando.Fiquei consternado com a informação que recebi do desaparecimento em combate do soldado do EB Daniel Engelmann.Minha solidariedade à família",1588,32350,4760,185,1113094855281008641,SF_Moro,Sergio Moro,https://pbs.twimg.com/profile_images/1490640602064642048/-dFlMl3m_normal.jpg,True
