tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1299071147049451520'],1,2020-08-27T19:47:51.000Z,https://t.co/XUoFyIF5f6,6,22,0,1,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1299089185656143875'],1,2020-08-27T20:59:32.000Z,"Além de golpear a indústria, o emprego, os tributos e a divisas de eventuais exportações, a compra tem que ser investigada pois há indícios de lobe pesado na intermediação. Enquanto isso a “oposição progressista” segue obcecada pela agenda do comportamento e dos costumes. https://t.co/lSZdyew5ue",35,115,3,1,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1299486138118406146'],1,2020-08-28T23:16:53.000Z,"O Portal Bonifácio celebra os 290 anos do maior escultor brasileiro, o Michelângelo do Barroco, Antônio Francisco Lisboa, o Aleijadinho. https://t.co/FLaI9TrhKV",9,37,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1299720602845147136'],1,2020-08-29T14:48:34.000Z,O artigo/ensaio de Alberto Monteiro para o Portal Bonifácio. https://t.co/b8O1JRiu7N,0,2,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1299880417672286209'],1,2020-08-30T01:23:36.000Z,O Portal Bonifácio publica o artigo da Revista Resenha Estratégica sobre a imposição de um nome dos Estados Unidos para a presidência do BID. https://t.co/xZ8U2xuEPo,3,15,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1299952439102255104'],1,2020-08-30T06:09:48.000Z,"Mais uma derrota do governo brasileiro e de sua vergonhosa submissão aos interesses dos Estados Unidos. E a oposição? Bem, a oposição está ajudando o governo a manter a agenda dos costumes e do comportamento em evidência. https://t.co/Onn4NhVmeH",22,65,3,1,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1300617960097280003'],1,2020-09-01T02:14:20.000Z,A servidão não tem limite: o Itamaraty advogando para os interesses eleitorais de Trump contra os produtores brasileiros de etanol. O nacionalismo desse governo não passa de culto à iconografia para ludibriar incautos. O nacionalismo dos progressistas virou pauta identitária. https://t.co/2jxtUDsxKj,25,63,2,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1300839588177510404'],1,2020-09-01T16:55:00.000Z,"Só no Brasil protestos violentos decidem eleições porque são apoiados pela direita, pela esquerda e, claro, pela Rede Globo, como em 2013, no Brasil. https://t.co/wQVfZ1yBmP",4,14,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1301205435580641285'],1,2020-09-02T17:08:45.000Z,O artigo de Carlos Renato Ungaretti para o Portal Bonifácio. https://t.co/FfgLeLb67q,6,15,2,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1301326588106207232'],1,2020-09-03T01:10:10.000Z,O artigo de Francisco Affonso Pereira Torres para o Portal Bonifácio. https://t.co/XmjqZjsiLI,4,17,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1301847730482970625'],1,2020-09-04T11:41:00.000Z,A homenagem do Portal Bonifácio ao líder da luta contra a escravidão Manuel Congo. https://t.co/T3kKqknl4a,4,14,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1301923009331159042'],1,2020-09-04T16:40:08.000Z,A admirável exuberância desse pezinho de primavera aqui na roça. https://t.co/Nif7Xe8bDx,3,31,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1301957870313967624'],1,2020-09-04T18:58:40.000Z,Saneamento a céu aberto - Jornal O Globo https://t.co/zuw604IV9T,1,7,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1302036635761213441'],1,2020-09-05T00:11:39.000Z,A Seção Brasilidades do Portal Bonifácio homenageia os 170 Anos da Emancipação Política do Estado do Amazonas. https://t.co/mLeHCavBem,1,7,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1302215876993863680'],1,2020-09-05T12:03:53.000Z,O artigo de Luciano Rezende Moreira para o Portal Bonifácio. https://t.co/5JMYGIFm72,2,17,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1302640212514877446'],1,2020-09-06T16:10:03.000Z,Brasil a caminho da “africanização financeira” - Bonifácio https://t.co/9Imvvqi83y,9,25,1,1,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1302734611248820225'],1,2020-09-06T22:25:09.000Z,O artigo para o Portal Bonifácio do General da Reserva Eduardo Diniz sobre a comemoração da Independência do Brasil. https://t.co/4Xo2PWWbMr,6,11,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1303172534507012096'],1,2020-09-08T03:25:18.000Z,A Seção Brasiliana do Portal Bonifácio homenageia os 408 Anos da fundação de São Luís do Maranhão. https://t.co/ATOQqNxGDo,5,22,0,1,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1304936906648702977'],1,2020-09-13T00:16:17.000Z,O artigo-ensaio de Felipe Quintas para o Portal Bonifácio. https://t.co/SFBjujhCow,2,5,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1304937418915819521'],1,2020-09-13T00:18:19.000Z,https://t.co/m07wqxgmYN,2,20,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306044539082334210'],1,2020-09-16T01:37:37.000Z,O artigo do professor Luís Paulino para o Portal Bonifácio. https://t.co/bMarafwyit,3,14,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306214216597221382'],1,2020-09-16T12:51:52.000Z,Lupicínio Rodrigues - Bonifácio https://t.co/2bv2m7Nk8q,1,2,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306225085951377409'],1,2020-09-16T13:35:03.000Z,Hoje é Dia das Alagoas. https://t.co/QNd2mnWIDY,0,4,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306330997437468676'],1,2020-09-16T20:35:54.000Z,Boa pergunta. https://t.co/0HiGSgDrTF,7,15,3,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306342185269428226'],1,2020-09-16T21:20:22.000Z,Desafios atuais da governabilidade na Argentina - Bonifácio https://t.co/m6S34F2gYE,2,16,2,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306678296009224196'],1,2020-09-17T19:35:57.000Z,"Não há nada que Araújo e a ONU dizem hoje sobre Maduro e a Venezuela, que Maduro e a ONU já não digam sobre o Brasil e Bolsonaro usando a questão indígena, o desmatamento e as queimadas na Amazônia. Em que mundo vive Ernesto Araújo? https://t.co/rInGvOqtPA",18,57,285,30,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306702497164206080'],1,2020-09-17T21:12:07.000Z,"Em artigo para o Portal Bonifácio o senador por Roraima Telmário Mota critica a presença do Secretário dos EUA em seu Estado, acompanhado do ministro Ernesto Araújo. https://t.co/HZ0itcyXRB",11,26,5,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1306714114702614528'],1,2020-09-17T21:58:17.000Z,Vida na roça. https://t.co/iUGunI1FGG,1,17,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1307457722368110593'],1,2020-09-19T23:13:07.000Z,185 anos da Farroupilha. https://t.co/HEaxzxurvN,2,20,3,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1307676293467721729'],1,2020-09-20T13:41:38.000Z,A Seção Brasiliana do Portal Bonifácio homenageia os 106 anos do clássico Brasil x Argentina no futebol. https://t.co/gL7Bygtc5h,4,12,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1307777798870892544'],1,2020-09-20T20:24:59.000Z,"https://t.co/1xsSBsftSp
Minha participação no debate sobre a Amazônia com Lorenzo Carrasco.",3,11,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1308202998544429057'],1,2020-09-22T00:34:34.000Z,A Seção Brasiliana do Portal Bonifácio registra os 123 anos da morte de Antônio Conselheiro. https://t.co/yhLovqoAnd,5,28,1,1,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1308563433080709121'],1,2020-09-23T00:26:49.000Z,A erosão neoliberal da indústria nacional de fertilizantes - Bonifácio https://t.co/0YmgowXFjp,15,36,3,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1308917168705331201'],1,2020-09-23T23:52:26.000Z,Os descaminhos da política externa brasileira - Bonifácio https://t.co/DgPONG4olu,2,14,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1309626558424985605'],1,2020-09-25T22:51:17.000Z,EUA: tudo ou nada na Venezuela – Brasil a tiracolo - Bonifácio https://t.co/CL4jkJB8Df,6,13,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1310793648951439362'],1,2020-09-29T04:08:53.000Z,Aldo Rebelo participa da live da Agência Sindical nesta terça - Agência Sindical https://t.co/97RpzvZeUJ,2,8,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1311128559570898944'],1,2020-09-30T02:19:42.000Z,"O que houve com @estantevirtual que não consegue processar mais um pedido, nem dar satisfação pelas falhas sucessivas? https://t.co/ToQQ7CSNjp",1,8,2,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1311809122719985666'],1,2020-10-01T23:24:01.000Z,O excelente artigo de Lorenzo Carrasco e Geraldo Lino. https://t.co/iSGIIpXoJq,3,10,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1312010273872646146'],1,2020-10-02T12:43:19.000Z,A Seção Brasiliana do Portal Bonifácio homenageia os 106 Anos de Porto Velho. https://t.co/CQZeam7OWG,3,6,0,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1312173863195664384'],1,2020-10-02T23:33:22.000Z,A excelente resenha de José Antônio Severo para o documentário de Oliver Stone sobre Vladimir Putin. Leia no Portal Bonifácio. https://t.co/X9b92gq6xX,7,17,0,1,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
['1313618777158881282'],1,2020-10-06T23:14:56.000Z,O artigo de Luís Antônio Paulino sobre os descaminhos da economia brasileira. Para o Portal Bonifácio. https://t.co/nZCxe82ADj,4,10,1,0,34704778,aldorebelo,Aldo Rebelo,https://pbs.twimg.com/profile_images/898195828204023808/3B0rF4XP_normal.jpg,True
